"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","Gate length (ns)","CZ error","RZZ error","MEASURE error","Operational"
"0","50.14160584834759","24.91015073010499","0.0211181640625","0.041015625","0.001220703125","1560","0.0019448124243596518","24","0.0019448124243596518","0","0.0019448124243596518","0.0019448124243596518","1:68","1:0.010960377553428463","1:0.0132860466944274","0.0211181640625","Yes"
"1","205.3598881019339","224.07971165854272","0.026123046875","0.036865234375","0.015380859375","1560","0.00028230598888158935","24","0.00028230598888158935","0","0.00028230598888158935","0.00028230598888158935","2:68;0:68","2:0.0027943411744928426;0:0.010960377553428463","2:0.0017385571600259941;0:0.0132860466944274","0.026123046875","Yes"
"2","193.57501767712404","127.42783511218983","0.007568359375","0.00927734375","0.005859375","1560","0.00017417195897319673","24","0.00017417195897319673","0","0.00017417195897319673","0.00017417195897319673","1:68;3:68","1:0.0027943411744928426;3:0.002147670897847287","1:0.0017385571600259941;3:0.0010730929905372055","0.007568359375","Yes"
"3","275.23567880296775","238.07216461768493","0.0625","0.050048828125","0.074951171875","1560","0.00014209232140551873","24","0.00014209232140551873","0","0.00014209232140551873","0.00014209232140551873","16:68;2:68;4:68","16:0.0019341745855182557;2:0.002147670897847287;4:0.0018365173618243857","16:0.0015557544183250893;2:0.0010730929905372055;4:0.0020500457859498056","0.0625","Yes"
"4","221.62761235083332","154.640760861406","0.010986328125","0.01318359375","0.0087890625","1560","0.00026469111748743054","24","0.00026469111748743054","0","0.00026469111748743054","0.00026469111748743054","3:68;5:68","3:0.0018365173618243857;5:0.003258618311858724","3:0.0020500457859498056;5:0.002426981614870427","0.010986328125","Yes"
"5","168.07488201037987","140.4052170809962","0.0489501953125","0.05859375","0.039306640625","1560","0.00023895173889810752","24","0.00023895173889810752","0","0.00023895173889810752","0.00023895173889810752","6:68;4:68","6:0.0039880498528655495;4:0.003258618311858724","6:0.0029123360308887236;4:0.002426981614870427","0.0489501953125","Yes"
"6","83.75944553337568","83.8149650969685","0.015869140625","0.017822265625","0.013916015625","1560","0.00018080351826109227","24","0.00018080351826109227","0","0.00018080351826109227","0.00018080351826109227","5:68;7:68","5:0.0039880498528655495;7:0.002790574524249051","5:0.0029123360308887236;7:0.0029433245078789305","0.015869140625","Yes"
"7","141.9936915715879","44.563508905365396","0.0269775390625","0.03857421875","0.015380859375","1560","0.00059767679611202","24","0.00059767679611202","0","0.00059767679611202","0.00059767679611202","17:68;6:68;8:68","17:0.0030900221850013454;6:0.002790574524249051;8:0.0028047366928466433","17:0.0034894218056315818;6:0.0029433245078789305;8:0.0036937315466328002","0.0269775390625","Yes"
"8","183.80211646660334","33.69634205486714","0.006591796875","0.010498046875","0.002685546875","1560","0.00023866324514319084","24","0.00023866324514319084","0","0.00023866324514319084","0.00023866324514319084","9:68;7:68","9:0.002439821965424832;7:0.0028047366928466433","9:0.0023844509169689276;7:0.0036937315466328002","0.006591796875","Yes"
"9","322.67471650448437","31.461678330141904","0.0125732421875","0.0126953125","0.012451171875","1560","0.00017873458061551663","24","0.00017873458061551663","0","0.00017873458061551663","0.00017873458061551663","8:68;10:68","8:0.002439821965424832;10:0.0016488010776911366","8:0.0023844509169689276;10:0.001640077250469274","0.0125732421875","Yes"
