"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"0","241.26262769325933","42.232454585739745","0.0098876953125","0.016357421875","0.00341796875","2584","0.0006269968320546486","36","0.0006269968320546486","0","0.0006269968320546486","0.0006269968320546486","1:0.0028691888993483405","1:68","1:0.002044692986427177","0.0098876953125","Yes"
"1","138.89845746374718","122.63262633533431","0.0086669921875","0.0166015625","0.000732421875","2584","0.00023747991015919724","36","0.00023747991015919724","0","0.00023747991015919724","0.00023747991015919724","2:0.0018404518382348078;0:0.0028691888993483405","2:68;0:68","2:0.0011312635636743507;0:0.002044692986427177","0.0086669921875","Yes"
"2","299.98279088011117","409.5520420509359","0.005615234375","0.009521484375","0.001708984375","2584","0.0001381032133770879","36","0.0001381032133770879","0","0.0001381032133770879","0.0001381032133770879","1:0.0018404518382348078;3:0.0018052691794011866","1:68;3:68","1:0.0011312635636743507;3:0.0011862739412265288","0.005615234375","Yes"
"3","273.927366509934","232.74552550760458","0.006591796875","0.008056640625","0.005126953125","2584","0.0003059152395121633","36","0.0003059152395121633","0","0.0003059152395121633","0.0003059152395121633","16:0.0024341166257104974;2:0.0018052691794011866;4:0.0019460856490015332","16:68;2:68;4:80","16:0.0012651426051405734;2:0.0011862739412265288;4:0.0015933596616500567","0.006591796875","Yes"
"4","228.99385352374486","327.6032453402125","0.0115966796875","0.022216796875","0.0009765625","2584","0.0002973247384566336","36","0.0002973247384566336","0","0.0002973247384566336","0.0002973247384566336","3:0.0019460856490015332;5:0.0020417898514674127","3:80;5:68","3:0.0015933596616500567;5:0.0017217343136555485","0.0115966796875","Yes"
"5","234.1565528293877","234.5074838678769","0.0087890625","0.014892578125","0.002685546875","2584","0.00026165094627490874","36","0.00026165094627490874","0","0.00026165094627490874","0.00026165094627490874","6:0.0011841640347782234;4:0.0020417898514674127","6:68;4:68","6:0.0013097424224999266;4:0.0017217343136555485","0.0087890625","Yes"
"6","197.96503739849098","227.89102856555436","0.00439453125","0.007568359375","0.001220703125","2584","0.00020756515617291525","36","0.00020756515617291525","0","0.00020756515617291525","0.00020756515617291525","5:0.0011841640347782234;7:0.0013666503276183462","5:68;7:68","5:0.0013097424224999266;7:0.0012200536239725113","0.00439453125","Yes"
"7","264.88092179061977","115.16561574317981","0.0047607421875","0.007568359375","0.001953125","2584","0.00027687290640396263","36","0.00027687290640396263","0","0.00027687290640396263","0.00027687290640396263","17:0.0015408410259961924;6:0.0013666503276183462;8:0.0019479310880608502","17:68;6:68;8:80","17:0.0016822614748017717;6:0.0012200536239725113;8:0.0017198034910292648","0.0047607421875","Yes"
"8","146.29284545464083","104.90683246205957","0.0084228515625","0.016357421875","0.00048828125","2584","0.00034213076213191834","36","0.00034213076213191834","0","0.00034213076213191834","0.00034213076213191834","9:0.0022275587352232895;7:0.0019479310880608502","9:68;7:80","9:0.001976406944732917;7:0.0017198034910292648","0.0084228515625","Yes"
"9","210.40650062922458","284.07750781309534","0.0123291015625","0.016845703125","0.0078125","2584","0.00024984165707164215","36","0.00024984165707164215","0","0.00024984165707164215","0.00024984165707164215","8:0.0022275587352232895;10:0.0016713123863161539","8:68;10:68","8:0.001976406944732917;10:0.002651189860388259","0.0123291015625","Yes"
